,Padj_maxP_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2178782_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2178782_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2178782_10x_vs_GM_DMSO,dPSI_GM_BIO_2178782_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2178782_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2178782_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2178782_3x_vs_GM_DMSO,dPSI_GM_BIO_2178782_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2186827_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2186827_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2186827_10x_vs_GM_DMSO,dPSI_GM_BIO_2186827_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2186827_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2186827_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2186827_3x_vs_GM_DMSO,dPSI_GM_BIO_2186827_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196772_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2196772_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2196772_10x_vs_GM_DMSO,dPSI_GM_BIO_2196772_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196772_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2196772_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2196772_3x_vs_GM_DMSO,dPSI_GM_BIO_2196772_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196895_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2196895_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2196895_10x_vs_GM_DMSO,dPSI_GM_BIO_2196895_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196895_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2196895_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2196895_3x_vs_GM_DMSO,dPSI_GM_BIO_2196895_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2197306_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2197306_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2197306_10x_vs_GM_DMSO,dPSI_GM_BIO_2197306_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2197306_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2197306_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2197306_3x_vs_GM_DMSO,dPSI_GM_BIO_2197306_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2199562_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2199562_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2199562_10x_vs_GM_DMSO,dPSI_GM_BIO_2199562_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2199562_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2199562_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2199562_3x_vs_GM_DMSO,dPSI_GM_BIO_2199562_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2201042_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2201042_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2201042_10x_vs_GM_DMSO,dPSI_GM_BIO_2201042_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2201042_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2201042_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2201042_3x_vs_GM_DMSO,dPSI_GM_BIO_2201042_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2204984_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2204984_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2204984_10x_vs_GM_DMSO,dPSI_GM_BIO_2204984_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2204984_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2204984_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2204984_3x_vs_GM_DMSO,dPSI_GM_BIO_2204984_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2206678_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2206678_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2206678_10x_vs_GM_DMSO,dPSI_GM_BIO_2206678_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2206678_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2206678_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2206678_3x_vs_GM_DMSO,dPSI_GM_BIO_2206678_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2207180_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2207180_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2207180_10x_vs_GM_DMSO,dPSI_GM_BIO_2207180_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2207180_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2207180_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2207180_3x_vs_GM_DMSO,dPSI_GM_BIO_2207180_3x_vs_GM_DMSO
CAND2,0.999,0.5425,NA,NA,NA,NA,1,0.6562,NA,NA,0.9759,0.4898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946,0.4394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9526,0.4339,NA,NA,NA,NA,NA,NA,0.9403,0.4685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAPZB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0383016733877904,0.769584879805011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65697937215115e-06,0.792274736637444,NA,NA,NA,NA,NA,NA
CARF,NA,NA,NA,NA,0.0249542567488633,0.423787716775707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAV1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000630274000038522,0.285792770044734,NA,NA,NA,NA,NA,NA,0.0203171733937138,0.288802995565119,NA,NA,NA,NA,0.0107968114615559,0.257766827638515,0.0180057224344397,0.288326925129968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCDC136,0.015657254009438,0.321,NA,NA,0.0208505015275379,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCT7,NA,NA,NA,NA,1.02618890670873e-06,0.388,0.000311722248484122,0.343,NA,NA,NA,NA,7.62511760985329e-07,0.401,NA,NA,NA,NA,NA,NA,2.22153788657725e-08,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0056855184384838,0.323,NA,NA,NA,NA,NA,NA,1.55993111222174e-06,0.379,NA,NA,NA,NA,NA,NA,0.000251518390870793,0.371,9.1518015044195e-07,0.387,NA,NA,NA,NA,0.00515035936684314,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030250036479034,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC37L1,NA,NA,NA,NA,NA,NA,0.000159567349708656,0.306033734931984,NA,NA,NA,NA,0.00462103270672931,0.382298560842122,0.00172302966356569,0.483664118496617,NA,NA,NA,NA,0.00042484793642456,0.388047530256049,0.000175080829064998,0.488430081952069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000203004283735691,0.545434852865077,0.000279345190544798,0.648674606594596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65290438589995e-05,0.689378870800258,0.000163796049319642,0.790694434518114,NA,NA,0.0205066058133621,0.276773786656108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDH18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9551,0.4458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9904,0.498,0.9539,0.4634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDKAL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0362886640966197,0.259925301006447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00882961923019566,0.256914408245023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CECR7,0.0134585591602653,0.565000779241771,4.71271094321642e-05,0.534367051673156,NA,NA,0.000787574598435433,0.888635544624269,NA,NA,1.05553606384763e-06,0.672423216233272,NA,NA,1.51403103366693e-06,0.65791171382406,0.0115573499174362,0.331975115339297,NA,NA,NA,NA,0.0192032305235386,0.687491276196174,NA,NA,0.00104333396104301,0.261709705368658,NA,NA,3.94245155466642e-05,0.496499355487899,0.00188789887651845,0.363018220584928,NA,NA,NA,NA,5.90485384924345e-08,0.746950749277007,NA,NA,0.000150735351158255,0.30412950475997,NA,NA,0.00783817485948456,0.692711770815681,NA,NA,0.000149327825237065,0.327091778720411,NA,NA,0.000238887519458751,0.339694813283247,0.01834106260439,0.419966132298814,NA,NA,NA,NA,7.57932661964333e-05,0.451767630111629,NA,NA,NA,NA,0.0250608404452392,0.507827942589863,NA,NA,0.00177037546020558,0.431719795560876,NA,NA,0.00135236956843093,0.303531187575751,NA,NA,0.00160162822776445,0.38367627410297,NA,NA
CEMIP,0.9826,0.4156,NA,NA,NA,NA,1,0.5578,NA,NA,0.9347,0.3909,NA,NA,0.9999,0.5037,NA,NA,NA,NA,NA,NA,0.9999,0.5057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9928,0.4266,NA,NA,NA,NA,NA,NA,1,0.5571,NA,NA,0.9842,0.4355,NA,NA,0.9984,0.4601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CENPI,NA,NA,NA,NA,NA,NA,1,0.6578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEP112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11588572003637e-05,0.318841797746725,6.2235160504614e-06,0.318853623086763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEP162,NA,NA,NA,NA,0.0119379880378578,0.258345282988786,0.00455459883233783,0.279311968886539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449708321036492,0.339284882739337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115299600454436,0.517987121778988,0.00234441760864064,0.561246140096796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEP164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEP170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.513,0,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHD9,NA,NA,NA,NA,7.30215108119413e-08,0.382280754261988,5.6440896237974e-07,0.451064849532941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29564540281601e-06,0.38194547665593,0,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52904086632655e-05,0.272871356571189,7.45574082906084e-05,0.343630452572629,NA,NA,NA,NA,0,0.367,0,0.384,NA,NA,0.000303623283682963,0.252187442430854,5.45514851461324e-06,0.261627881162569,9.39123321666937e-06,0.332077627548323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHEK1,NA,NA,NA,NA,NA,NA,8.81503305592048e-11,0.308,NA,NA,0.9185,0.3822,NA,NA,0.00909294027902123,0.252249722501185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912,0.4152,NA,NA,NA,NA,NA,NA,1.23740531196136e-08,0.301,NA,NA,NA,NA,NA,NA,1.03477845704544e-10,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.355,NA,NA,1.03526489603215e-08,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9587,0.4519,NA,NA,NA,NA
CHROMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142625985004681,0.381,NA,NA,NA,NA,NA,NA,5.31865582360971e-05,0.41,0.00126319622402776,0.336,NA,NA,NA,NA,0.0100304817885508,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335554161659523,0.386,0.0234251766439722,0.312,NA,NA,NA,NA,NA,NA,NA,NA
CIP2A,NA,NA,NA,NA,0.000270709878476291,0.535613958089472,8.69903733617407e-06,0.585973492526128,NA,NA,NA,NA,0.000105086497132832,0.603446822485489,6.60095280287302e-06,0.650445296748303,NA,NA,NA,NA,0.000873881136075476,0.515871693658784,3.06266231460788e-05,0.564327463350677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00295039687423981,0.256580606078443,NA,NA,NA,NA,0.000759520446804507,0.800545635381876,NA,NA,NA,NA,NA,NA,0.0322386533146192,0.334733187199343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLK4,NA,NA,NA,NA,NA,NA,7.60261793230545e-14,0.312,NA,NA,NA,NA,NA,NA,0,0.317,NA,NA,NA,NA,NA,NA,1.81892539068652e-13,0.304,NA,NA,NA,NA,0.000341337591380021,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43666203500523e-05,0.318,0,0.366,NA,NA,NA,NA,0.0136038070313088,0.366,0.0132205789006287,0.348,NA,NA,NA,NA,NA,NA,0,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMAHP,0.0280026213431127,0.295637183768856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8083,1,0.97,NA,NA,0.0132640424257239,0.554517941405584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00103562159994298,0.738976223296643,NA,NA,NA,NA,0.00323025124600633,0.538302046657505,0.000218646494418432,0.893897408835076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0208144392960815,0.39737173779707,NA,NA,NA,NA
CNOT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000484024956355689,0.254110746282241,7.19921408514703e-05,0.281569432328001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.363,0,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CNTN3,NA,NA,NA,NA,4.39427938637622e-06,0.404744177091097,8.77188834244583e-05,0.408142835184278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80900822446809e-06,0.476264902368966,8.84416139115957e-05,0.479237409290158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CNTRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0257147932669408,0.337916453894881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COMMD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147491891394335,0.322,NA,NA
COPS7B,NA,NA,NA,NA,NA,NA,0,0.464,NA,NA,NA,NA,NA,NA,0,0.478,NA,NA,NA,NA,NA,NA,0,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.399,NA,NA,NA,NA,0,0.398,0,0.624,NA,NA,NA,NA,NA,NA,0,0.336,NA,NA,NA,NA,NA,NA,0,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORO6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00585344917015542,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00446175277706172,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPAMD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0451271698879593,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRISPLD2,NA,NA,NA,NA,NA,NA,2.16622441041559e-06,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31869932712221e-08,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRYBG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22770166787994e-05,0.405393918681906,1.26220142015382e-05,0.408903469496415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSF1,NA,NA,NA,NA,0.000103185037979754,0.259024316673412,4.20429541075063e-05,0.284680211465476,NA,NA,NA,NA,NA,NA,0.000214546677174359,0.271876322702986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000106894783238237,0.323484907092205,5.52386616451939e-05,0.349252324665896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CTNS,NA,NA,NA,NA,0.9792,0.4337,8.91522236487892e-09,0.322921169636297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98346778909284e-08,0.299003431089399,NA,NA,NA,NA,NA,NA,1.2154900491329e-07,0.254936268686392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU638689.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192507296770683,0.267722891720963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136714386008321,0.267729410723663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYB5R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42624638169952e-05,0.4,3.02913523431025e-06,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYTH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00892231620926679,0.555536399329123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
